date,sector,exchange,pe
2023-12-28,Technology,NASDAQ,38.64438128665953
2023-12-27,Technology,NASDAQ,38.54643378304356
2023-12-26,Technology,NASDAQ,38.480814282094386
2023-12-22,Technology,NASDAQ,38.188835303418664
2023-12-21,Technology,NASDAQ,38.18999107211803
2023-12-20,Technology,NASDAQ,37.68267578266841
2023-12-19,Technology,NASDAQ,38.29753937330619
2023-12-18,Technology,NASDAQ,38.2061961833296
2023-12-15,Technology,NASDAQ,38.02932480213773
2023-12-14,Technology,NASDAQ,37.6702668345706
2023-12-13,Technology,NASDAQ,37.73367618316634
2023-12-12,Technology,NASDAQ,37.2846721437274
2023-12-11,Technology,NASDAQ,36.868759219629474
2023-12-08,Technology,NASDAQ,36.85907330767073
2023-12-07,Technology,NASDAQ,36.4447273240842
2023-12-06,Technology,NASDAQ,35.98468987387736
2023-12-05,Technology,NASDAQ,36.66741814094282
2023-12-04,Technology,NASDAQ,36.28082773385886
2023-12-01,Technology,NASDAQ,36.87724386080737
2023-11-30,Technology,NASDAQ,36.84961077482946
2023-11-29,Technology,NASDAQ,37.47272641893519
2023-11-28,Technology,NASDAQ,37.31656434623073
2023-11-27,Technology,NASDAQ,37.2120811246884
2023-11-24,Technology,NASDAQ,37.2187830926355
2023-11-22,Technology,NASDAQ,37.32953518618944
2023-11-21,Technology,NASDAQ,41.333445043436356
2023-11-20,Technology,NASDAQ,41.67258029115769
2023-11-17,Technology,NASDAQ,40.88536907372239
2023-11-16,Technology,NASDAQ,40.98640109715563
2023-11-15,Technology,NASDAQ,40.565494058178146
2023-11-14,Technology,NASDAQ,40.86110828637615
2023-11-13,Technology,NASDAQ,39.972906203224056
2023-11-10,Technology,NASDAQ,40.03213796824002
2023-11-09,Technology,NASDAQ,38.971790264112926
2023-11-08,Technology,NASDAQ,40.233256635266955
2023-11-07,Technology,NASDAQ,39.98736825190164
2023-11-06,Technology,NASDAQ,39.28478815033677
2023-11-03,Technology,NASDAQ,39.00970001809229
2023-11-02,Technology,NASDAQ,38.29470366752997
2023-11-01,Technology,NASDAQ,37.46270632798643
2023-10-31,Technology,NASDAQ,36.66765521907131
2023-10-30,Technology,NASDAQ,36.48810210570875
2023-10-27,Technology,NASDAQ,36.0637407999796
2023-10-26,Technology,NASDAQ,36.31545894122939
2023-10-25,Technology,NASDAQ,37.205676399754104
